NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990
lung-512x512/a9d8358f_1-060.dcm,526.21,73.37,86.06,14.14,97.31,129.39,75.41,223.71,57.49,372.83,29.15
lung-512x512/6d1f03fd_1-091.dcm,525.72,62.14,88.18,11.03,97.9,97.99,81.36,176.85,66.36,294.84,43.92
lung-512x512/3ce5cf2c_1-057.dcm,526.2,84.04,84.03,13.1,97.51,97.89,81.4,184.53,64.93,310.25,41.04
lung-512x512/6b5b6a40_1-014.dcm,526.23,76.45,85.47,13.18,97.5,66.3,87.4,121.45,76.92,215.75,59
lung-512x512/aa026f16_1-096.dcm,526.19,93.47,82.24,15.01,97.15,89.97,82.9,176.5,66.46,333.48,36.62
lung-512x512/78929b0f_1-091.dcm,526.21,89.5,82.99,18.98,96.39,137.4,73.89,223.92,57.45,373.14,29.09
lung-512x512/f24c84d6_1-010.dcm,526.2,63.04,88.02,10.35,98.03,121.53,76.9,184.53,64.93,302.3,42.55
lung-512x512/97596efb_1-073.dcm,526.2,95.38,81.87,17.11,96.75,160.96,69.41,278.86,47,467.1,11.23
lung-512x512/74c955b4_1-058.dcm,526.23,80.39,84.72,15.71,97.01,145.06,72.43,239.4,54.51,388.48,26.18
lung-512x512/fc6cecee_1-048.dcm,526.2,77.28,85.31,13.17,97.5,153,70.92,263.12,50,427.88,18.69
lung-512x512/05455b22_1-072.dcm,526.19,94.33,82.07,15.93,96.97,192.39,63.44,294.66,44,467.28,11.2
lung-512x512/72448a16_1-043.dcm,526.2,84.48,83.94,17.08,96.75,176.69,66.42,278.96,46.98,435.93,17.16
lung-512x512/3ca6ddea_1-120.dcm,526.22,72.9,86.15,11.2,97.87,97.81,81.41,160.77,69.45,286.45,45.56
lung-512x512/42a3c877_1-075.dcm,526.21,89.24,83.04,17.78,96.62,145.24,72.4,239.64,54.46,404.42,23.15
lung-512x512/e12eb391_1-095.dcm,525.72,90.18,82.85,14.36,97.27,82.18,84.37,145.19,72.38,247.3,52.96
lung-512x512/4682705e_1-044.dcm,526.23,92.28,82.46,15.98,96.96,129.41,75.41,247.41,52.98,420.13,20.16
lung-512x512/c7346a0c_1-015.dcm,526.22,73.65,86,13.87,97.36,97.86,81.4,168.76,67.93,286.51,45.55
lung-512x512/14a8060e_1-055.dcm,526.17,97.48,81.47,18.53,96.48,145.22,72.4,255.28,51.48,427.9,18.68
lung-512x512/b45b7064_1-117.dcm,526.2,107.9,79.49,17.85,96.61,58.46,88.89,121.49,76.91,247.15,53.03
lung-512x512/fd7d4d7d_1-88.dcm,526.2,89.56,82.98,13.32,97.47,105.74,79.91,184.44,64.95,310.09,41.07
lung-512x512/b85d485c_1-130.dcm,526.22,96.99,81.57,20.02,96.2,50.61,90.38,90.04,82.89,200.16,61.96
lung-512x512/ddfb1216_1-054.dcm,526.19,77.45,85.28,12.18,97.69,168.84,67.91,263.25,49.97,420.23,20.14
lung-512x512/80c36b08_1-090.dcm,525.73,82.83,84.24,14.02,97.33,113.68,78.38,200.34,61.89,326.07,37.98
lung-512x512/dd07d2f0_1-095.dcm,526.21,102.31,80.56,21.12,95.99,105.85,79.88,192.41,63.43,333.82,36.56
lung-512x512/62e9f13a_1-071.dcm,526.22,83.79,84.08,16.66,96.83,137.3,73.91,223.82,57.47,365.15,30.61
lung-512x512/681ad9f0_1-131.dcm,526.22,87.58,83.36,15.65,97.03,74.28,85.89,145.09,72.43,262.93,50.03
lung-512x512/6b31532e_1-045.dcm,526.2,94.57,82.03,15.37,97.08,113.68,78.4,223.81,57.47,396.52,24.64
lung-512x512/2018f535_1-120.dcm,526.21,77.2,85.33,11.54,97.81,90.03,82.89,168.83,67.92,294.47,44.04
lung-512x512/15ebf36d_1-036.dcm,526.23,80.61,84.68,13.81,97.38,89.99,82.9,160.84,69.43,278.76,47.03
lung-512x512/83f95d11_1-033.dcm,526.22,76.75,85.42,13.16,97.5,192.53,63.41,318.42,39.49,475.37,9.66
lung-512x512/3ca93170_1-116.dcm,526.22,109.03,79.28,21.07,96,145.2,72.41,247.59,52.95,435.99,17.15
lung-512x512/141250cd_1-002.dcm,526.22,80.83,84.64,13.4,97.45,153.07,70.91,247.41,52.98,396.56,24.64
lung-512x512/0cfa7ec2_1-090.dcm,526.22,98.24,81.33,19.61,96.27,74.24,85.89,152.91,70.94,286.38,45.58
lung-512x512/bb182ae0_1-087.dcm,526.22,82.43,84.34,15.2,97.11,137.37,73.89,231.73,55.96,380.65,27.66
lung-512x512/194a7aad_1-024.dcm,525.71,80.25,84.74,11.54,97.81,74.31,85.87,145.29,72.36,263.37,49.9
lung-512x512/80e9a387_1-093.dcm,526.29,93.04,82.32,14.88,97.17,105.91,79.88,208.15,60.45,372.86,29.15
lung-512x512/929a532d_1-040.dcm,525.72,92.5,82.4,14.61,97.22,66.32,87.39,137.3,73.88,278.75,46.98
lung-512x512/dcee81b2_1-053.dcm,526.18,87,83.47,15.1,97.13,160.89,69.42,278.76,47.02,451.34,14.22
lung-512x512/ec21acac_1-94.dcm,526.21,88.01,83.27,12.8,97.57,129.37,75.42,215.95,58.96,373.02,29.11
lung-512x512/43050887_1-105.dcm,526.23,96.21,81.72,16.65,96.84,65.7,87.51,143.71,72.69,268.08,49.06
lung-512x512/acda1633_1-42.dcm,526.22,91.49,82.61,17.99,96.58,121.56,76.9,200.38,61.92,326.12,38.03
lung-512x512/35547bfe_1-041.dcm,526.22,88.25,83.23,17.33,96.71,97.88,81.4,168.79,67.92,310.08,41.07
lung-512x512/c50d0391_1-090.dcm,525.72,82.51,84.31,13.64,97.41,137.43,73.86,239.66,54.41,404.5,23.06
lung-512x512/eeb5fc3f_1-049.dcm,526.29,88.26,83.23,15.02,97.15,121.58,76.9,223.84,57.47,396.5,24.66
lung-512x512/8b54133d_1-081.dcm,526.18,90.82,82.74,15.92,96.98,129.43,75.4,239.53,54.48,412.11,21.68
lung-512x512/e545c221_1-73.dcm,525.72,96.09,81.72,18.13,96.55,97.36,81.48,183.53,65.09,331.83,36.88
lung-512x512/c1c45d3c_1-041.dcm,526.22,94.16,82.11,16.24,96.91,82.05,84.41,176.55,66.45,349.17,33.65
lung-512x512/0d3c922b_1-100.dcm,526.22,87.24,83.42,15.91,96.98,66.31,87.4,145.08,72.43,270.69,48.56
lung-512x512/8337fe3d_1-060.dcm,526.17,96.1,81.74,18.13,96.55,145.08,72.43,262.92,50.03,435.24,17.28
lung-512x512/0c103b6e_1-033.dcm,526.23,74.54,85.84,11.48,97.82,74.25,85.89,137.27,73.91,247.27,53.01
lung-512x512/af061dd7_1-65.dcm,526.2,98.72,81.24,16.67,96.83,105.79,79.9,208.03,60.47,388.46,26.18
lung-512x512/4e33d582_1-048.dcm,525.72,93.42,82.23,19.33,96.32,176.97,66.34,279.26,46.88,436.33,17
